epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,187.87,0.98272,0.89619,1.09911,0.66703,0.39817,0.49503,0.36752,1.22629,1.60771,1.23754,7.30541e-05,7.30541e-05,7.30541e-05
41,192.623,0.97381,0.90092,1.1163,0.56038,0.44888,0.4963,0.36979,1.22432,1.58216,1.23506,7.1876e-05,7.1876e-05,7.1876e-05
42,197.288,0.95197,0.85392,1.08163,0.58109,0.44173,0.51176,0.37646,1.23016,1.56402,1.24307,7.06979e-05,7.06979e-05,7.06979e-05
43,201.856,0.96737,0.8809,1.10352,0.66308,0.41793,0.49966,0.36335,1.23738,1.54364,1.24641,6.95198e-05,6.95198e-05,6.95198e-05
44,206.469,0.93771,0.89845,1.0996,0.755,0.38469,0.51633,0.37973,1.24341,1.54465,1.25018,6.83417e-05,6.83417e-05,6.83417e-05
45,210.907,0.91992,0.90128,1.0865,0.7443,0.39083,0.51755,0.3818,1.24609,1.5642,1.25234,6.71636e-05,6.71636e-05,6.71636e-05
46,215.582,0.92064,0.83728,1.06502,0.73395,0.39524,0.5176,0.37898,1.23983,1.55861,1.24659,6.59855e-05,6.59855e-05,6.59855e-05
47,220.018,0.92336,0.84483,1.08293,0.8036,0.38022,0.49515,0.37235,1.22339,1.56188,1.23895,6.48074e-05,6.48074e-05,6.48074e-05
48,224.562,0.92892,0.85598,1.09987,0.80365,0.37535,0.49756,0.37109,1.22697,1.56178,1.241,6.36293e-05,6.36293e-05,6.36293e-05
49,229.202,0.91031,0.8534,1.08496,0.79576,0.37709,0.49558,0.37052,1.24186,1.56552,1.24862,6.24512e-05,6.24512e-05,6.24512e-05
50,233.688,0.91254,0.8219,1.0951,0.78823,0.38349,0.49565,0.37029,1.2531,1.58222,1.25455,6.12731e-05,6.12731e-05,6.12731e-05
51,238.219,0.88414,0.84069,1.09015,0.74546,0.38604,0.49036,0.36255,1.26341,1.61255,1.26154,6.0095e-05,6.0095e-05,6.0095e-05
52,242.699,0.91764,0.83952,1.06806,0.69561,0.39161,0.48688,0.3585,1.27298,1.61312,1.26921,5.89169e-05,5.89169e-05,5.89169e-05
53,247.45,0.94405,0.82779,1.08659,0.67841,0.39324,0.49459,0.35951,1.27638,1.61686,1.26419,5.77388e-05,5.77388e-05,5.77388e-05
54,251.943,0.92483,0.8779,1.08414,0.73135,0.38556,0.50075,0.36112,1.28106,1.63311,1.2688,5.65607e-05,5.65607e-05,5.65607e-05
55,256.514,0.92888,0.82789,1.07256,0.76203,0.38908,0.49573,0.35909,1.27901,1.61429,1.26523,5.53826e-05,5.53826e-05,5.53826e-05
56,261.016,0.89685,0.80448,1.06458,0.75512,0.39388,0.49798,0.36525,1.27119,1.59775,1.2664,5.42045e-05,5.42045e-05,5.42045e-05
57,265.532,0.91817,0.84088,1.08461,0.73766,0.38623,0.49384,0.35801,1.2616,1.60042,1.26604,5.30264e-05,5.30264e-05,5.30264e-05
58,270.174,0.8895,0.81169,1.06576,0.75724,0.36492,0.48024,0.35264,1.2711,1.62728,1.27907,5.18483e-05,5.18483e-05,5.18483e-05
59,274.67,0.91562,0.82559,1.0741,0.786,0.36485,0.48065,0.34757,1.26613,1.65735,1.27429,5.06702e-05,5.06702e-05,5.06702e-05
60,279.272,0.89067,0.78212,1.05364,0.79916,0.36476,0.47931,0.34677,1.26955,1.66155,1.27509,4.94921e-05,4.94921e-05,4.94921e-05
61,283.689,0.91503,0.81024,1.07105,0.80156,0.38088,0.47685,0.34288,1.2664,1.67949,1.27035,4.8314e-05,4.8314e-05,4.8314e-05
62,288.261,0.92395,0.85077,1.07749,0.76778,0.36837,0.47541,0.34819,1.26012,1.67993,1.259,4.71359e-05,4.71359e-05,4.71359e-05
63,292.705,0.90235,0.7845,1.06363,0.79178,0.35754,0.48034,0.34766,1.25666,1.66861,1.25597,4.59578e-05,4.59578e-05,4.59578e-05
64,297.136,0.897,0.78563,1.05567,0.79771,0.36247,0.48347,0.34953,1.26996,1.65555,1.26641,4.47797e-05,4.47797e-05,4.47797e-05
65,301.704,0.90986,0.78851,1.06212,0.79303,0.36723,0.48833,0.3532,1.27246,1.65254,1.26403,4.36016e-05,4.36016e-05,4.36016e-05
66,306.197,0.88313,0.81752,1.06797,0.76476,0.3681,0.48584,0.34992,1.27437,1.65323,1.2658,4.24235e-05,4.24235e-05,4.24235e-05
67,310.73,0.89177,0.77237,1.06331,0.8079,0.36304,0.48625,0.3534,1.27629,1.67021,1.27103,4.12454e-05,4.12454e-05,4.12454e-05
68,315.257,0.90845,0.78805,1.07701,0.85121,0.36022,0.47605,0.35162,1.27232,1.685,1.26896,4.00673e-05,4.00673e-05,4.00673e-05
69,319.669,0.91272,0.82116,1.07076,0.82404,0.36188,0.48374,0.35616,1.27353,1.68186,1.27319,3.88892e-05,3.88892e-05,3.88892e-05
70,324.121,0.86047,0.77327,1.04417,0.83864,0.3599,0.4858,0.35802,1.27479,1.67893,1.27678,3.77111e-05,3.77111e-05,3.77111e-05
71,328.642,0.90427,0.78274,1.05544,0.83653,0.36499,0.48531,0.36358,1.27701,1.66908,1.27794,3.6533e-05,3.6533e-05,3.6533e-05
72,333.208,0.90267,0.76456,1.06025,0.83263,0.35673,0.48331,0.36182,1.277,1.66185,1.27772,3.53549e-05,3.53549e-05,3.53549e-05
73,337.864,0.89512,0.80221,1.0842,0.81294,0.36609,0.48377,0.36504,1.27566,1.68271,1.27721,3.41768e-05,3.41768e-05,3.41768e-05
74,342.251,0.87415,0.78202,1.053,0.79552,0.36383,0.47045,0.3536,1.27207,1.69252,1.27514,3.29987e-05,3.29987e-05,3.29987e-05
75,346.655,0.8561,0.7597,1.04838,0.7614,0.38167,0.48216,0.3596,1.27337,1.69442,1.27356,3.18206e-05,3.18206e-05,3.18206e-05
76,351.52,0.89219,0.79654,1.06085,0.79912,0.37691,0.49076,0.36676,1.26572,1.68383,1.27,3.06425e-05,3.06425e-05,3.06425e-05
77,356.138,0.88547,0.78255,1.05857,0.80625,0.37845,0.49223,0.36469,1.26427,1.6833,1.26101,2.94644e-05,2.94644e-05,2.94644e-05
